language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
kamb1297,-,k,a,-,-,-,5,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kamb1297,-,k,a,-,-,-,5,-,w,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
dhai1238,-,-,-,-,-,-,m,-,-,-,-,-,r,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
temi1247,-,k,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
moch1256,-,-,-,-,-,-,d,-,-,-,u,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-
vunj1238,-,-,-,-,-,-,L,-,-,-,u,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-
vunj1238,-,-,-,-,-,-,X,-,-,-,u,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-
vunj1238,-,-,-,-,-,-,r,-,-,-,u,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-
romb1244,-,-,-,-,-,-,m,-,-,-,o,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
romb1244,-,-,-,-,-,-,m,-,-,-,o,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-
romb1244,-,-,-,-,-,-,m,-,-,-,o,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
mach1266,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mach1266,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mach1266,-,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
gwen1239,-,-,-,-,-,-,m,-,-,-,u,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
kahe1238,-,-,-,-,-,-,m,-,-,-,u,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-
maor1244,-,-,-,-,-,-,h,-,-,-,a,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
ndzw1235,-,-,-,-,-,-,h,-,-,-,a,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
